"sno","nodes","id","celebrity_twitter_id","weight"
"105","digvijaya_28","digvijaya_28","371730289","197"
"106","divyadutta25","divyadutta25","131442654","12"
"107","dna","dna","17710740","929"
"108","dreamgirlhema","dreamgirlhema","333982951","7"
"109","drharshvardhan","drharshvardhan","77732185","117"
"110","DrKumarVishwas","DrKumarVishwas","141633175","3502"
"111","drramansingh","drramansingh","373280952","59"
"112","DrSYQuraishi","DrSYQuraishi","505694805","58"
"113","duttsanjay","duttsanjay","149198901","3"
"114","ErosNow","ErosNow","477875139","83"
"115","ESET","ESET","52446754","23"
"116","ETCBollywood","ETCBollywood","84310561","865"
"117","ETNOWlive","ETNOWlive","225012752","69"
"118","FarahKhanAli","FarahKhanAli","69914008","35"
"119","FarOutAkhtar","FarOutAkhtar","97865628","255"
"120","fbhutto","fbhutto","84352985","6"
"121","FCGoaOfficial","FCGoaOfficial","2677681358","3307"
"122","FCPuneCity","FCPuneCity","2561057052","4559"
"123","filmfare","filmfare","35695228","1766"
"124","ForeignAffairs","ForeignAffairs","21114659","12"
"125","GargiRawat","GargiRawat","73043514","28"
"126","gauris","gauris","39523524","4"
"127","GautamGambhir","GautamGambhir","99448420","21"
"128","gchahal","gchahal","14372104","6"
"129","Gen_VKSingh","Gen_VKSingh","1856414335","6"
"130","geneliad","geneliad","92726549","47"
"131","ghoshworld","ghoshworld","244957467","3"
"132","GOLDIEBEHL","GOLDIEBEHL","50243043","17"
"133","googleindia","googleindia","94530194","18"
"134","gqindia","gqindia","108253263","18"
"135","GreatKhali","GreatKhali","989495850","2"
"136","GulPanag","GulPanag","23061619","81"
"137","Gupta_vijender","Gupta_vijender","1054143836","5"
"138","gurdasmaan","gurdasmaan","2481283506","38"
"139","Guttajwala","Guttajwala","222516693","54"
"140","harbhajan_singh","harbhajan_singh","92945681","34"
"141","HaydonLisa","HaydonLisa","468229219","109"
"142","HeadlinesToday","HeadlinesToday","1073676020","212"
"143","HHShkMohd","HHShkMohd","44335525","47"
"144","HMOIndia","HMOIndia","2541363451","89"
"145","HNY","HNY","2243499816","9161"
"146","HSKDOfficial","HSKDOfficial","1640302076","5"
"147","HTBrunch","HTBrunch","105803556","73"
"148","HTMumbai","HTMumbai","1456759956","131"
"149","htTweets","htTweets","36327407","5203"
"150","humasqureshi","humasqureshi","283916211","52"
"151","iam_juhi","iam_juhi","230140702","29"
"152","iamnagarjuna","iamnagarjuna","120990817","67"
"153","iamsrk","iamsrk","101311381","28518"
"154","ianuragthakur","ianuragthakur","381949397","173"
"155","ibnlive","ibnlive","6509832","4114"
"156","iHrithik","iHrithik","113419517","8846"
"157","iKabirBedi","iKabirBedi","31135086","219"
"158","Ileana_Official","Ileana_Official","2177710981","209"
"159","imbhandarkar","imbhandarkar","102594253","9"
"160","IMGWorldwide","IMGWorldwide","29773272","1"
"161","impoornapatel","impoornapatel","108849346","11"
"162","ImRaina","ImRaina","121044171","67"
"163","ImranKhanPTI","ImranKhanPTI","122453931","2288"
"164","imVkohli","imVkohli","71201743","566"
"165","ImZaheer","ImZaheer","109275593","3"
"166","IndianDiplomacy","IndianDiplomacy","164213375","181"
"167","IndianExpress","IndianExpress","38647512","1291"
"168","IndiaToday","IndiaToday","19897138","2042"
"169","IndSuperLeague","IndSuperLeague","1894112550","5068"
"170","IPL","IPL","15639696","11"
"171","irrfan_k","irrfan_k","490442018","10"
"172","ishaantharoor","ishaantharoor","44317593","29"
"173","isro","isro","2253142422","28"
"174","itsaadee","itsaadee","233070139","31"
"175","ItsAmitTrivedi","ItsAmitTrivedi","2584146452","2"
"176","jaavedjaaferi","jaavedjaaferi","90628174","4"
