"sno","nodes","id","celebrity_twitter_id","weight"
"128","gchahal","gchahal","14372104","1"
"129","Gen_VKSingh","Gen_VKSingh","1856414335","6"
"130","geneliad","geneliad","92726549","25"
"131","ghoshworld","ghoshworld","244957467","1"
"132","GOLDIEBEHL","GOLDIEBEHL","50243043","2"
"133","googleindia","googleindia","94530194","2"
"134","gqindia","gqindia","108253263","12"
"135","GreatKhali","GreatKhali","989495850","2"
"136","GulPanag","GulPanag","23061619","15"
"137","Gupta_vijender","Gupta_vijender","1054143836","5"
"138","gurdasmaan","gurdasmaan","2481283506","16"
"139","Guttajwala","Guttajwala","222516693","10"
"140","harbhajan_singh","harbhajan_singh","92945681","11"
"141","HaydonLisa","HaydonLisa","468229219","26"
"142","HeadlinesToday","HeadlinesToday","1073676020","63"
"143","HHShkMohd","HHShkMohd","44335525","32"
"144","HMOIndia","HMOIndia","2541363451","52"
"145","HNY","HNY","2243499816","385"
"146","HSKDOfficial","HSKDOfficial","1640302076","4"
"147","HTBrunch","HTBrunch","105803556","29"
"148","HTMumbai","HTMumbai","1456759956","18"
"149","htTweets","htTweets","36327407","262"
"150","humasqureshi","humasqureshi","283916211","14"
"151","iam_juhi","iam_juhi","230140702","19"
"152","iamnagarjuna","iamnagarjuna","120990817","26"
"153","iamsrk","iamsrk","101311381","1165"
"154","ianuragthakur","ianuragthakur","381949397","22"
"155","ibnlive","ibnlive","6509832","368"
"156","iHrithik","iHrithik","113419517","271"
"157","iKabirBedi","iKabirBedi","31135086","19"
"158","Ileana_Official","Ileana_Official","2177710981","33"
"159","imbhandarkar","imbhandarkar","102594253","8"
"160","IMGWorldwide","IMGWorldwide","29773272","1"
"161","impoornapatel","impoornapatel","108849346","3"
"162","ImRaina","ImRaina","121044171","49"
"163","ImranKhanPTI","ImranKhanPTI","122453931","340"
"164","imVkohli","imVkohli","71201743","162"
"165","ImZaheer","ImZaheer","109275593","3"
"166","IndianDiplomacy","IndianDiplomacy","164213375","16"
"167","IndianExpress","IndianExpress","38647512","204"
"168","IndiaToday","IndiaToday","19897138","252"
"169","IndSuperLeague","IndSuperLeague","1894112550","214"
"170","IPL","IPL","15639696","9"
"171","irrfan_k","irrfan_k","490442018","8"
"172","ishaantharoor","ishaantharoor","44317593","23"
"173","isro","isro","2253142422","13"
"174","itsaadee","itsaadee","233070139","6"
"175","ItsAmitTrivedi","ItsAmitTrivedi","2584146452","1"
"176","jaavedjaaferi","jaavedjaaferi","90628174","4"
"177","jackkybhagnani","jackkybhagnani","80018213","1"
"178","Javedakhtarjadu","Javedakhtarjadu","122995784","10"
"179","Jemima_Khan","Jemima_Khan","94628304","29"
"180","JhaSanjay","JhaSanjay","50943008","70"
"181","jiteshpillaai","jiteshpillaai","40884854","48"
"182","jonathanshainin","jonathanshainin","46073276","1"
"183","JP_LOKSATTA","JP_LOKSATTA","242253020","2"
"184","juniorbachchan","juniorbachchan","87170183","357"
"185","k_satyarthi","k_satyarthi","2477802067","21"
"186","Kailashkher","Kailashkher","41552881","19"
"187","kalkikanmani","kalkikanmani","110025421","20"
"188","KapilSharmaK9","KapilSharmaK9","1492538024","211"
"189","karan009wahi","karan009wahi","105210222","21"
"190","karanjohar","karanjohar","57928790","82"
"191","karshkalemusic","karshkalemusic","64947724","8"
"192","kartikmurali","kartikmurali","139385992","1"
"193","kaushikcbasu","kaushikcbasu","17797666","1"
"194","KBCsony","KBCsony","339600819","4"
"195","KBFCOfficial","KBFCOfficial","2585481402","103"
"196","KKRiders","KKRiders","23592970","26"
"197","konkonas","konkonas","75854417","11"
"198","Kritika_Kamra","Kritika_Kamra","147019183","63"
"199","kunalkohli","kunalkohli","15941979","30"
"200","LalitKModi","LalitKModi","70179948","116"
"201","LaraDutta","LaraDutta","66334209","7"
"202","LifeOKTV","LifeOKTV","427258135","74"
"203","Lisaraniray","Lisaraniray","69771400","26"
